,QuestionText_nchars,VerfiedBuyersWithLanguage,NonEmployeeAnswersWithinWeek
1,98,14,1
2,83,841,0
3,98,17,0
4,180,1316,1
5,89,537,0
6,195,39,1
7,192,91,1
8,36,0,0
9,168,0,0
10,193,69,0
11,106,4,0
12,70,1823,0
13,36,188,1
14,108,53,1
15,69,435,1
16,114,94,1
17,175,102,1
18,179,16,1
19,40,20,1
21,37,204,1
22,54,0,0
23,62,4,0
24,74,997,2
25,126,12,1
27,32,1751,1
28,50,283,1
29,182,366,1
30,32,2,0
31,66,40,0
32,81,51,1
33,105,12,0
34,40,965,1
36,183,111,1
37,159,0,0
38,69,6,0
39,125,78,0
40,104,27,0
41,198,261,1
42,98,1682,2
43,198,0,0
44,46,163,1
45,182,309,3
46,93,86,1
47,155,1239,1
48,80,17,0
49,102,9,0
50,107,213,1
51,54,131,0
52,71,656,1
53,62,4,0
54,193,2,1
55,88,35,0
57,176,694,3
58,78,1551,1
59,56,242,1
60,63,101,2
61,29,379,1
62,83,0,0
63,189,2,1
64,100,119,1
66,104,213,1
67,103,221,2
68,197,8,1
69,201,220,1
71,33,1,0
72,38,0,0
73,116,47,1
74,49,34,2
75,125,45,0
76,38,10,0
77,64,205,0
78,48,1,0
79,183,21,1
80,25,0,0
81,26,13,0
82,91,82,0
83,84,69,0
84,43,0,0
85,74,8,1
86,184,342,1
87,44,4333,0
88,199,9,0
89,86,597,1
90,50,0,0
91,96,7,0
92,96,470,1
93,193,16,0
94,112,7,1
95,46,21,0
96,188,172,0
97,145,8,0
98,80,386,1
99,135,27,0
101,126,3,1
102,53,527,0
103,98,136,0
105,172,332,0
106,39,767,1
108,197,11,0
109,103,27,1
111,65,2,0
112,75,30,2
113,231,52,1
114,74,5,0
115,26,32,1
116,195,634,2
117,72,0,1
118,102,17,1
119,39,450,3
120,200,68,1
121,43,135,3
122,88,9543,0
123,68,393,1
124,59,10,0
125,43,316,1
126,191,101,0
127,40,72,0
128,155,1,0
129,142,0,0
131,110,70,1
132,65,521,1
133,49,3553,0
134,29,143,0
135,64,364,1
136,41,1,1
137,47,395,0
138,46,119,0
139,104,521,2
140,46,0,0
141,34,0,0
144,94,135,0
145,65,55,0
146,192,4599,1
147,38,160,1
148,191,1761,1
150,101,0,0
151,26,59,0
152,54,134,0
153,49,1944,0
154,106,37,0
156,96,6,0
157,45,5,1
158,159,35,0
159,108,0,0
161,25,16,0
162,146,8,0
163,29,535,0
165,59,1,1
166,38,1,1
167,30,10,1
168,94,9,0
169,47,2,0
170,38,14,0
171,55,0,0
173,196,22,0
174,187,1947,0
175,194,240,0
176,200,87,1
178,74,14,0
179,77,3,0
180,134,131,1
181,30,57,0
183,108,301,0
184,46,53,0
185,107,28,0
186,169,21,2
187,149,45,1
188,65,45,1
189,49,305,0
190,59,17,0
191,113,174,0
192,25,1567,0
194,121,703,1
195,162,316,2
196,186,300,1
198,82,4497,0
199,41,479,0
200,175,1,0
201,99,6,1
202,52,581,0
203,145,7,0
204,33,81,0
205,139,0,0
206,100,0,0
207,67,0,0
208,87,6,0
209,63,9,0
210,117,6,0
211,114,96,0
213,167,0,0
214,51,22,0
215,109,14,0
216,196,884,1
217,123,80,0
218,38,224,1
219,166,43,1
220,156,16,0
222,84,122,0
223,184,6,0
224,53,25,0
225,115,106,1
226,119,10,0
227,134,23,0
228,177,178,1
230,147,4,0
231,179,28,0
232,61,0,0
233,124,215,0
234,166,241,1
235,77,4,1
236,46,44,0
238,57,291,1
239,148,12,1
240,239,7,1
241,40,1330,0
242,166,573,1
243,167,26,0
244,193,5,0
245,199,45,1
246,36,81,1
248,168,0,0
249,146,145,3
250,40,0,0
251,88,1,1
252,154,106,2
254,75,0,1
255,54,40,1
256,70,49,1
258,41,20,1
259,39,49,0
260,199,253,1
261,178,524,3
262,55,1,0
263,61,12,1
264,103,27,1
266,189,164,1
268,150,419,0
269,50,316,1
270,200,82,2
272,199,571,1
273,57,0,1
275,184,30,1
276,108,106,0
278,75,42,2
279,46,17,1
280,36,31,1
281,72,17,1
282,46,133,0
283,52,5,1
284,179,0,2
285,23,1,0
286,125,9,0
287,78,123,1
288,64,2497,1
289,51,1351,1
290,68,167,1
291,119,14,0
292,179,3,1
293,70,46,1
295,191,55,1
296,125,183,1
297,196,1,0
299,33,155,1
300,72,18,0
301,87,29,1
302,83,21,1
303,36,298,1
304,36,83,2
305,76,12,0
306,45,8,0
307,71,324,2
308,56,313,1
310,84,3844,1
311,92,103,3
312,94,68,2
313,85,135,1
315,142,54,2
316,62,13,0
318,39,0,0
319,57,0,0
320,196,94,1
321,89,1,0
322,56,2026,2
323,112,389,0
324,189,18,0
325,91,19,0
326,23,9,0
327,62,1,0
328,87,7,0
330,39,666,0
331,149,30,2
333,45,16,0
334,45,11,0
335,85,83,2
336,131,0,0
338,128,19,1
340,54,56,3
341,114,0,0
342,91,6,0
344,188,97,1
345,32,40,1
346,130,39,1
347,94,251,1
348,198,745,1
349,112,42,1
350,163,2594,1
351,106,1602,1
352,111,806,1
353,159,15,1
354,151,0,0
355,158,0,3
356,194,2138,1
357,69,299,1
358,168,65,0
359,150,250,0
360,73,2,0
361,29,0,1
362,198,1,0
363,102,148,2
364,157,28,0
365,175,417,1
366,64,8,0
367,44,20,0
368,196,73,1
369,31,1,0
370,62,214,1
371,86,190,2
372,76,46,1
373,181,372,1
374,200,292,1
375,191,46,2
376,111,67,1
378,174,165,1
379,29,10,0
380,197,1243,1
381,100,59,1
382,114,68,4
383,62,10,1
384,28,9,1
385,195,2,2
386,40,6844,1
387,195,137,1
388,79,529,2
389,61,16,0
390,161,1,1
391,159,82,1
392,94,1,1
393,99,32,1
394,96,1,1
395,166,6,0
396,194,233,1
397,68,0,1
398,200,44,1
399,169,45,1
400,112,230,1
401,127,419,1
402,24,7223,1
403,26,94,0
404,119,59,1
405,49,25,0
406,101,12,1
407,155,249,1
408,117,1061,2
409,191,725,1
410,85,75,4
411,98,109,2
412,44,19,0
413,77,449,1
414,200,32,1
415,33,31,1
416,60,0,0
417,74,131,1
418,81,1650,1
419,174,337,1
420,162,11,2
421,82,0,0
422,77,1730,0
423,164,1,0
424,120,2,0
425,100,5,0
426,34,388,1
427,35,4,1
428,45,1,1
429,23,0,1
430,44,4,1
431,50,13,0
432,85,26,1
433,80,129,1
434,36,25,1
435,198,16,1
436,56,31,1
437,139,20,1
438,84,4,0
439,72,400,1
440,115,1,0
441,91,190,0
442,43,98,2
443,29,5,1
444,91,357,1
445,74,646,0
446,40,2,0
447,111,56,1
448,175,24,1
449,49,5928,2
450,45,86,1
451,32,44,0
452,68,19,0
453,20,23,1
454,120,5,0
455,135,22,1
456,44,169,1
457,122,189,1
459,76,67,1
460,127,32,0
461,197,9,1
462,12,4,0
463,179,28,0
464,59,33,1
465,190,2,1
466,110,48,1
467,25,3,0
468,41,76,1
469,51,527,1
470,198,41,1
471,80,1,0
472,45,90,1
473,136,8,0
474,109,4,0
475,53,0,0
476,103,20,0
477,199,67,0
479,44,1065,1
481,179,14,1
483,84,29,1
484,23,34,1
485,78,11,0
486,86,6,0
487,78,0,1
489,54,10,0
490,77,51,4
491,76,973,2
492,130,1,0
493,186,2,0
494,55,20,0
495,86,23,2
496,108,19,0
497,86,0,0
498,174,81,1
499,133,16,1
500,164,100,1
501,190,250,2
502,191,37,1
503,136,0,1
504,51,43,1
505,102,9671,2
506,77,2,0
507,146,53,1
508,94,205,1
509,191,35,1
510,101,24,1
511,122,3,0
514,112,4621,1
515,70,59,1
516,132,163,1
517,129,140,1
518,186,97,1
